Name,Manu,Target,Shelf,Calories,Carbs,Fat,Fiber,Potassium,Protein,Sodium,Sugars,Vitamins,CRRating,Cups,Weight
Cap'n'Crunch,Quaker Oats,child,middle,120,12,2,0,35,1,220,12,25,18,0.75,1
Cocoa Puffs,General Mills,child,middle,110,12,1,0,55,1,180,13,25,23,1,1
Trix,General Mills,child,middle,110,13,1,0,25,1,140,12,25,28,1,1
Apple Jacks,Kelloggs,child,middle,110,11,0,1,30,2,125,14,25,33,1,1
Corn Chex,Ralston,adult,bottom,110,22,0,0,25,2,280,3,25,41,1,1
Corn Flakes,Kelloggs,adult,bottom,100,21,0,1,35,2,290,2,25,46,1,1
Nut&Honey,Kelloggs,adult,middle,120,15,1,0,40,2,190,9,25,30,0.67,1
Smacks,Kelloggs,child,middle,110,9,1,1,40,2,70,15,25,31,0.75,1
Multi-Grain,General Mills,adult,bottom,100,15,1,2,90,2,220,6,25,40,1,1
Cracklin' Oat Bran,Kelloggs,adult,top,110,10,3,4,160,3,140,7,25,40,0.5,1
Grape-Nuts,Post,adult,top,110,17,0,3,90,3,179,3,25,53,0.25,1
Honey Nut Cheerios,General Mills,child,bottom,110,11.5,1,1.5,90,3,250,10,25,31,0.75,1
Nutri-Grain,Kelloggs,adult,top,140,21,2,3,130,3,220,7,25,41,0.67,1.33
Product 19,Kelloggs,adult,top,100,20,0,1,45,3,320,3,100,42,1,1
Total Raisin Bran,General Mills,adult,top,140,15,1,4,230,3,190,14,100,29,1,1.5
Wheat Chex,Ralston,adult,bottom,100,17,1,3,115,3,230,3,25,50,0.67,1
Oatmeal,General Mills,adult,top,130,13.5,2,1.5,120,3,170,10,25,30,0.5,1.25
Life,Quaker Oats,child,middle,100,12,2,2,95,4,150,6,25,45,0.67,1
Maypo,Homestate Farms,adult,middle,100,16,1,0,95,4,0,3,25,55,1,1
Quaker Oats,Quaker Oats,adult,top,100,14,1,2,110,4,135,6,25,50,0.5,1
Muesli,Ralston,adult,top,150,16,3,3,170,4,150,11,25,34,1,1
Quaker Oats,Quaker Oats,adult,bottom,100,,2,2.7,110,5,0,,0,51,0.67,1
Cheerios,General Mills,child,bottom,110,17,2,2,105,6,290,1,25,51,1.25,1
Special K,Kelloggs,adult,bottom,110,16,0,1,55,6,230,3,25,53,1,1
