id,size,sex
1,13.5,M
2,25,F
3,10.9,M
4,10.4,M
5,23.8,F
6,13.4,M
7,22.4,F
8,11.6,M
9,12.3,M
10,20.6,F
11,26.2,F
12,13.6,M
13,25.7,F
14,19,F
15,11.8,M
16,11.1,M
17,12.9,M
18,13.9,M
19,11.4,M
20,13.3,M
21,13.2,M
22,18.9,F
23,22.8,F
24,13.1,M
25,12.9,M
26,25.6,F
27,21.1,F
28,25.4,F
29,13.3,M
30,12.3,M
31,25.6,F
32,21.8,F
33,10,M
34,11.2,M
35,11.9,M
36,12,M
37,25.4,F
38,27.6,F
39,13.8,M
40,13.1,M
41,11.3,M
42,12.8,M
43,10.7,M
44,12.3,M
45,12.1,M
46,15.4,M
47,12.8,M
48,12.8,M
49,13.5,M
50,25.4,F
51,12.8,M
52,25,F
53,12.8,M
54,24.6,F
55,11.1,M
56,14.1,M
57,27.2,F
58,12.3,M
59,13,M
60,14.2,M
61,11.3,M
62,12.2,M
63,13.2,M
64,24.7,F
65,11.7,M
66,12.7,M
67,16.5,F
68,24.3,F
69,19.4,F
70,12.2,M
71,11.1,M
72,8.7,M
73,11.9,M
74,13.3,M
75,10.5,M
76,11,M
77,11.6,M
78,14.1,M
79,12.5,M
80,14.1,M
81,11.4,M
82,21.2,F
83,20.8,F
84,11.7,M
85,25.8,F
86,22.5,F
87,11,M
88,12.7,M
89,17.3,F
90,11.1,M
91,11.8,F
92,12.1,M
93,20.3,F
94,19.5,F
95,14.9,F
96,25.1,F
97,25.4,F
98,12.7,M
99,14,M
100,9.4,M
101,13.5,M
102,13.9,M
103,22.7,F
104,23.2,F
105,23.1,F
106,12.2,M
107,20.1,F
108,25.9,F
109,11.8,M
110,12.2,M
111,25.4,F
112,20.2,F
113,11.5,M
114,12.1,M
115,10.6,M
116,15.9,F
117,15.7,F
118,23.2,F
119,27,F
120,21.9,F
121,19.2,F
122,23.4,F
123,12.6,M
124,17.6,F
125,13.7,M
126,12.3,M
127,12.4,M
128,10.1,M
129,13.1,M
130,12.4,M
131,11,M
132,13,M
133,14.4,M
134,24.7,F
135,13.6,M
136,12,M
137,19.5,F
138,14.4,M
139,20.8,F
140,10.6,M
141,22.7,F
142,21,F
143,22.8,F
144,23.1,F
145,11.4,M
146,12.1,M
147,23.3,F
148,11.1,M
149,13.6,M
150,12.2,M
151,12.8,M
152,27,F
153,12.1,M
154,12.3,M
155,22.5,F
156,24.4,F
157,13.9,M
158,25,F
159,15,F
160,23.3,F
161,20.5,F
162,21.3,F
163,24,F
164,12.6,M
165,14.6,F
166,21.5,F
167,25,F
168,11,M
169,25,F
170,12.6,M
171,11,M
172,25,F
173,22,F
174,11.7,M
175,13.2,M
176,14,M
177,11.2,M
178,14.5,M
179,13.3,M
180,12.4,M
181,18.1,F
182,12.1,M
183,25.5,F
184,13.1,M
185,13.4,M
186,24.4,F
187,24.6,F
188,13.6,M
189,19.5,F
190,12.7,M
191,25.7,F
192,11.2,M
193,21,F
194,11.2,M
195,19.2,F
196,26.6,F
197,24,F
198,22.7,F
199,12.2,M
200,25.1,F
201,16.2,F
202,22.6,F
203,20.3,F
204,12,M
205,13.7,M
206,13.4,M
207,25.2,F
208,21.6,F
209,11.8,M
210,21.1,F
211,13.3,M
212,11.9,M
213,24,F
214,24.4,F
215,11.5,M
216,12.8,M
217,10,M
218,12.6,M
219,11.3,M
220,21.8,F
221,22.9,F
222,12,M
223,25.8,F
224,12.7,M
225,19,F
226,23.6,F
227,10.6,M
228,17.6,F
229,12.9,M
230,12.6,M
231,12.3,M
232,21.4,F
233,11.6,M
234,12.3,M
235,14.5,M
236,22.4,F
237,20.6,F
238,12.1,M
239,13,M
240,11,M
241,14.5,F
242,11.5,M
243,20.7,F
244,14.5,M
245,10.8,M
246,24.2,F
247,10.4,M
248,23.2,F
249,23.6,F
250,13.8,M
251,11.5,M
252,23.7,F
253,23,F
