Number,Name,Position,Age,Height,Weight,Experience,College,Team,Side,Salary,Salary in Milions
4,Adam Vinatieri,PK,45,73,212,22,South Dakota State,Colts,Special Teams,2750000,2.75
4,Phil Dawson,PK,43,71,200,19,Texas,Cardinals,Special Teams,2000000,2
3,Matt Bryant,PK,42,69,203,16,Baylor,Falcons,Special Teams,1450000,1.45
9,Shane Lechler,P,41,74,240,18,Texas A&M,Texans,Special Teams,1500000,1.5
12,Tom Brady,QB,40,76,225,18,Michigan,Patriots,Offense,1000000,1
23,Terence Newman,CB,39,70,197,15,Kansas State,Vikings,Defense,2400000,2.4
92,James Harrison,LB,39,73,242,15,Kent State,Patriots,Defense,58824,0.058824
92,John Denney,LS,39,77,242,13,BYU,Dolphins,Special Teams,900000,0.9
11,Sebastian Janikowski,PK,39,73,265,18,Florida State,Raiders,Special Teams,NA,NA
9,Drew Brees,QB,39,73,209,17,Purdue,Saints,Offense,13000000,13
90,Julius Peppers,DE,38,79,295,16,North Carolina,Panthers,Defense,1000000,1
15,Josh McCown,QB,38,76,218,15,Sam Houston State,Jets,Offense,3000000,3
93,Dwight Freeney,DE,37,73,268,16,Syracuse,Lions,Defense,588235,0.588235
8,Donnie Jones,P,37,74,221,14,LSU,Eagles,Special Teams,1250000,1.25
10,Eli Manning,QB,37,77,220,14,Ole Miss,Giants,Offense,13000000,13
82,Benjamin Watson,TE,37,75,251,14,Georgia,Ravens,Offense,NA,NA
85,Antonio Gates,TE,37,76,255,15,Kent State,Chargers,Offense,4500000,4.5
91,Cameron Wake,DE,36,75,263,9,Penn State,Dolphins,Defense,6875000,6.875
56,Karlos Dansby,LB,36,76,250,14,Auburn,Cardinals,Defense,1000000,1
59,Jon Condo,LS,36,75,240,11,Maryland,Raiders,Special Teams,1000000,1
91,L.P. Ladouceur,LS,36,77,256,13,California,Cowboys,Special Teams,1100000,1.1
48,Don Muhlbach,LS,36,76,258,14,Texas A&M,Lions,Special Teams,1000000,1
77,Andrew Whitworth,OT,36,79,333,12,LSU,Rams,Offense,7500000,7.5
71,Jason Peters,OT,36,76,328,14,Arkansas,Eagles,Offense,3000000,3
9,Jon Ryan,P,36,73,217,12,University of Regina,Seahawks,Special Teams,1000000,1
9,Nick Novak,PK,36,73,200,10,Maryland,Chargers,Special Teams,688235,0.688235
17,Philip Rivers,QB,36,77,228,14,NC State,Chargers,Offense,11000000,11
8,Matt Schaub,QB,36,78,245,14,Virginia,Falcons,Offense,NA,NA
29,Mike Adams,S,36,71,205,14,Delaware,Panthers,Defense,1000000,1
61,Joe Berger,C,35,77,305,13,Michigan Tech,Vikings,Offense,1000000,1
29,John Kuhn,FB,35,73,250,12,Shippensburg,Saints,Offense,1000000,1
56,Derrick Johnson,LB,35,75,242,13,Texas,Chiefs,Defense,1000000,1
55,Terrell Suggs,LB,35,75,265,15,Arizona State,Ravens,Defense,4000000,4
64,Khalif Barnes,OT,35,78,320,12,Washington,Cardinals,Offense,176471,0.176471
4,Sam Koch,P,35,73,222,12,Nebraska,Ravens,Special Teams,2300000,2.3
2,Dustin Colquitt,P,35,75,210,13,Tennessee,Chiefs,Special Teams,4050000,4.05
2,Andy Lee,P,35,73,185,14,Pittsburgh,Cardinals,Special Teams,1000000,1
9,Robbie Gould,PK,35,73,190,13,Penn State,49ers,Special Teams,1500000,1.5
1,Mike Nugent,PK,35,70,190,13,Ohio State,Bears,Special Teams,235294,0.235294
14,Ryan Fitzpatrick,QB,35,74,223,13,Harvard,Buccaneers,Offense,1750000,1.75
16,Matt Cassel,QB,35,76,228,13,USC,Titans,Offense,1750000,1.75
7,Ben Roethlisberger,QB,35,77,240,14,Miami (OH),Steelers,Offense,12000000,12
82,Jason Witten,TE,35,78,263,15,Tennessee,Cowboys,Offense,7400000,7.4
24,Adam Jones,CB,34,70,185,11,West Virginia,Bengals,Defense,6023529,6.023529
24,Brent Grimes,CB,34,70,185,11,Shippensburg,Buccaneers,Defense,6000000,6
25,Tramon Williams,CB,34,73,192,11,Louisiana Tech,Cardinals,Defense,1000000,1
96,Brian Robison,DE,34,75,259,11,Texas,Vikings,Defense,3900000,3.9
95,Kyle Williams,DT,34,73,303,12,LSU,Bills,Defense,6300000,6.3
92,Frostee Rucker,DT,34,75,280,12,USC,Cardinals,Defense,1000000,1
92,Haloti Ngata,DT,34,76,340,12,Oregon,Lions,Defense,5500000,5.5
64,Richie Incognito,G,34,75,319,11,Nebraska,Bills,Offense,3175000,3.175
73,Jahri Evans,G,34,76,318,12,Bloomsburg,Packers,Offense,1150000,1.15
57,Lorenzo Alexander,LB,34,73,245,11,California,Bills,Defense,2000000,2
45,David Harris,LB,34,74,250,11,Michigan,Patriots,Defense,1000000,1
58,Elvis Dumervil,LB,34,71,250,12,Louisville,49ers,Defense,2250000,2.25
